City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,iquique,-20.2208,-70.1431,20.02,71,54,1.04,CL,1717880032
174,wailua homesteads,22.0669,-159.378,28.24,79,75,4.12,US,1717880032
175,tofol,5.3248,163.0078,28.66,78,88,5.54,FM,1717880032
176,vadso,70.0744,29.7487,3.49,93,100,7.72,NO,1717880033
177,puerto santa,-8.9906,-78.6456,20.06,78,11,4.69,PE,1717880033
178,qusmuryn,52.4503,64.6311,18.46,86,44,4.2,KZ,1717880033
179,veraval,20.9,70.3667,29.54,75,0,6.66,IN,1717880034
180,hepo,23.4308,115.8299,23.62,99,58,0.6,CN,1717880034
181,whangarei,-35.7317,174.3239,16.26,96,100,3.63,NZ,1717879914
182,talnakh,69.4865,88.3972,1.78,96,100,4.18,RU,1717880034
183,east ballina,-28.8667,153.5833,12.7,79,1,4.63,AU,1717880034
184,new norfolk,-42.7826,147.0587,8.72,90,81,1.27,AU,1717880035
185,zapala,-38.8992,-70.0544,11.62,49,100,3.05,AR,1717880035
186,cidreira,-30.1811,-50.2056,17.73,90,70,4.43,BR,1717880035
187,saipan,15.1355,145.701,26.39,89,40,3.6,MP,1717880035
188,tenno,39.9,139.9667,17.83,85,100,3.78,JP,1717880035
189,prado,-17.3411,-39.2208,23.26,85,0,3.67,BR,1717880035
190,deqen,29.9618,90.7188,9.64,71,2,2.2,CN,1717880036
191,gadzhiyevo,69.2551,33.3362,4.03,89,100,6.97,RU,1717880036
192,meadow lake,34.8014,-106.5436,36.71,12,99,2.36,US,1717880036
193,labytnangi,66.6572,66.4183,0.77,80,24,2.42,RU,1717880036
194,cherdyn',60.403,56.4787,11.52,79,96,1.82,RU,1717880036
195,kununurra,-15.7667,128.7333,10.99,76,0,0.0,AU,1717880036
196,acarau,-2.8856,-40.12,26.01,85,29,4.54,BR,1717880037
197,kiunga,-6.1219,141.2906,23.33,100,100,0.75,PG,1717880037
198,pangoa,-12.1167,-73.0,28.8,50,21,1.34,PE,1717880037
199,bireun,5.203,96.7009,25.98,81,80,1.72,ID,1717880037
200,howrah,22.5892,88.3103,31.0,84,20,6.17,IN,1717880037
201,malaya purga,56.5567,53.0043,14.84,91,14,2.17,RU,1717880038
202,fontenay-tresigny,48.7065,2.8705,15.87,67,0,3.6,FR,1717880038
203,mbandjok,4.45,11.9,19.61,97,100,1.91,CM,1717880038
204,miraflores de la sierra,40.8155,-3.7621,13.63,86,83,1.55,ES,1717880038
205,carbonear,47.7332,-53.2148,16.91,87,67,0.64,CA,1717880038
206,ekibastuz,51.6667,75.3667,18.31,81,98,2.26,KZ,1717880038
207,bijie,27.3125,105.2942,15.56,96,100,1.04,CN,1717880039
208,acapulco de juarez,16.8634,-99.8901,27.79,59,88,4.23,MX,1717880039
209,kolyvan',55.3053,82.7391,15.79,96,68,3.1,RU,1717880039
210,waverly,42.7392,-84.6208,21.09,52,100,2.06,US,1717880039
211,saint-philippe,-21.3585,55.7679,20.77,85,79,1.72,RE,1717880039
212,san salvador,13.6894,-89.1872,26.13,97,75,4.12,SV,1717879807
213,malabar,-33.9667,151.25,12.8,84,0,1.54,AU,1717880039
214,salahonda,2.1019,-78.7217,26.92,81,78,5.6,CO,1717880040
215,illizi,26.4833,8.4667,34.89,11,0,3.83,DZ,1717880040
216,crane,31.3974,-102.3501,38.79,18,89,8.94,US,1717880040
217,uige,-7.6087,15.0613,21.99,73,99,1.03,AO,1717880040
218,colonia,50.9333,6.95,16.36,66,0,5.14,DE,1717879775
219,vitebsk,55.1905,30.2033,9.52,82,52,0.91,BY,1717880040
220,kapa'a,22.0752,-159.319,28.99,78,75,4.12,US,1717880041
221,codrington,-38.2667,141.9667,11.25,71,100,3.83,AU,1717880041
222,karratha,-20.7377,116.8463,18.25,61,0,4.16,AU,1717880041
223,klaksvik,62.2266,-6.589,7.51,83,95,9.28,FO,1717880041
224,palmer,42.1584,-72.3287,23.52,53,75,6.69,US,1717880041
225,port saint john's,-31.6229,29.5448,14.48,77,2,3.01,ZA,1717880041
226,xindi,29.8167,113.4667,20.95,94,100,2.52,CN,1717880042
227,ulsteinvik,62.3432,5.8487,10.07,92,100,0.45,NO,1717880042
228,vilyuchinsk,52.9306,158.4028,12.15,70,100,3.8,RU,1717880042
229,tokar,18.4254,37.729,33.27,42,6,3.01,SD,1717880042
230,kingston,17.997,-76.7936,31.53,70,40,9.26,JM,1717879757
231,labrador city,52.9463,-66.9114,25.95,31,75,3.09,CA,1717880042
232,stephenville,32.2207,-98.2023,36.07,38,0,5.66,US,1717880043
233,cooma,-36.2333,149.1333,5.46,95,68,0.5,AU,1717880043
234,taro,-8.3862,115.28,22.0,100,86,0.62,ID,1717880043
235,mitsamiouli,-11.3847,43.2844,26.31,70,2,5.14,KM,1717880043
236,dongkan,33.9997,119.8308,22.84,58,97,2.94,CN,1717880043
237,cambria,35.5641,-121.0808,30.13,73,99,2.56,US,1717880044
238,avarua,-21.2078,-159.775,24.03,57,20,2.57,CK,1717880044
239,fort st. john,56.2499,-120.8529,9.94,57,100,4.63,CA,1717880031
240,pico truncado,-46.7949,-67.9573,4.06,88,100,5.27,AR,1717880044
241,klyuchi,52.2667,79.1667,16.66,84,27,1.72,RU,1717880044
242,presidente epitacio,-21.7633,-52.1156,26.09,37,19,2.46,BR,1717880044
243,coruripe,-10.1256,-36.1756,24.08,88,6,3.61,BR,1717880044
244,tucupita,9.0622,-62.051,32.17,55,71,3.02,VE,1717880045
245,utrik,11.2278,169.8474,28.22,82,56,7.59,MH,1717880045
246,sokoni,-6.4333,39.55,26.92,72,2,7.95,TZ,1717880045
247,vilyuysk,63.7553,121.6247,12.22,60,1,1.79,RU,1717880045
248,east london,-33.0153,27.9116,14.5,75,10,4.6,ZA,1717880045
249,llanes,43.4198,-4.7549,16.88,93,100,3.48,ES,1717880045
250,olds,51.7834,-114.102,8.25,85,100,6.62,CA,1717880046
251,amos,48.5669,-78.1162,10.76,96,100,2.01,CA,1717880046
252,keflavik,64.0049,-22.5624,8.95,66,0,4.12,IS,1717880046
253,sitka,57.0531,-135.33,14.94,58,75,8.23,US,1717880046
254,kailua-kona,19.6406,-155.9956,27.98,78,20,5.66,US,1717880046
255,touros,-5.1989,-35.4608,25.27,91,31,5.39,BR,1717880046
256,shingu,33.7333,135.9833,19.09,91,100,1.6,JP,1717880047
257,baley,51.6,116.6333,5.36,92,82,0.78,RU,1717880047
258,igarka,67.4667,86.5833,5.01,92,100,4.02,RU,1717880047
259,bandarbeyla,9.4942,50.8122,27.04,78,50,11.92,SO,1717880047
260,mezhdurechenskiy,59.6,65.9333,10.1,84,0,1.5,RU,1717880047
261,ta`u,-14.2336,-169.5144,26.45,73,93,11.02,AS,1717880047
262,dame-marie,18.5667,-74.4167,30.03,72,100,4.53,HT,1717880048
263,batticaloa,7.7102,81.6924,27.37,82,100,1.18,LK,1717880048
264,urzhar,47.093,81.6294,16.44,84,87,1.97,KZ,1717880048
265,alice springs,-23.7,133.8833,3.75,100,0,2.06,AU,1717880048
266,virrat,62.2476,23.78,9.03,86,72,1.69,FI,1717880048
267,scottburgh,-30.2867,30.7532,13.91,77,65,3.21,ZA,1717880048
268,minas de marcona,-15.2119,-75.1103,18.07,59,22,5.04,PE,1717880049
269,peterhead,57.5058,-1.7981,9.22,82,99,7.5,GB,1717880049
270,tura,25.5198,90.2201,24.4,95,1,2.67,IN,1717880049
271,norilsk,69.3535,88.2027,1.9,97,100,4.05,RU,1717880049
272,buka,40.8108,69.1986,24.77,33,0,2.03,UZ,1717880049
273,zarghun shahr,32.8473,68.4457,18.26,33,17,1.32,AF,1717880049
274,lensk,60.7253,114.9278,6.33,93,93,0.99,RU,1717880050
275,la passe,45.5549,-0.8967,18.13,89,25,4.38,FR,1717880050
276,shiqian,27.5225,108.2281,18.84,99,100,1.16,CN,1717880050
277,ulundi,-28.3352,31.4162,10.01,87,4,1.34,ZA,1717880050
278,alofi,-19.0595,-169.9187,24.94,57,40,7.2,NU,1717880050
279,yerofey pavlovich,53.9667,121.9667,11.43,56,99,0.92,RU,1717880050
280,olyokminsk,60.3736,120.4264,9.63,75,64,2.12,RU,1717880051
281,fuzesabony,47.75,20.4167,18.27,88,22,0.82,HU,1717880051
282,saint-pierre,-21.3393,55.4781,20.82,73,20,2.57,RE,1717880051
283,zandvoort,52.3749,4.5341,12.81,80,20,3.13,NL,1717880051
284,trairi,-3.2778,-39.2689,24.76,92,51,3.22,BR,1717880051
285,polyarnyy,69.1989,33.4478,4.16,87,100,6.83,RU,1717880051
286,zahedan,29.4963,60.8629,22.95,14,20,3.09,IR,1717880052
287,plettenberg bay,-34.0527,23.3716,12.59,72,92,0.31,ZA,1717880052
288,antsiranana,-12.2787,49.2917,21.03,87,0,3.21,MG,1717880052
289,bryne,58.7354,5.6477,8.88,90,75,5.66,NO,1717880052
290,eraan,9.0629,117.7016,25.52,87,100,2.31,PH,1717880052
291,meadow lakes,61.6247,-149.6011,20.66,71,0,2.57,US,1717880052
292,alaghsas,17.0187,8.0168,37.53,13,62,4.17,NE,1717880053
293,hassi messaoud,31.6804,6.0729,38.92,8,0,2.57,DZ,1717880053
294,tazovsky,67.4667,78.7,3.25,79,98,3.08,RU,1717880053
295,issa,53.8705,44.8578,17.3,95,3,2.6,RU,1717880053
296,oswego,43.4501,-76.1497,22.97,64,82,3.58,US,1717880053
297,alesund,62.4723,6.1549,10.08,89,75,2.06,NO,1717880053
298,laguna,38.421,-121.4238,31.41,46,0,4.12,US,1717880054
299,alto barinas,8.5931,-70.2261,25.91,89,100,3.02,VE,1717880054
300,beidao,34.5686,105.8933,14.25,76,100,0.94,CN,1717880054
301,port macquarie,-31.4333,152.9167,8.27,80,14,2.52,AU,1717880054
302,mata-utu,-13.2816,-176.1745,27.98,76,99,11.25,WF,1717880054
303,karuzi,-3.125,30.1333,15.53,64,83,1.33,BI,1717880054
304,lompoc,34.6391,-120.4579,24.45,83,100,3.09,US,1717880055
305,nogliki,51.8333,143.1667,5.75,97,100,3.58,RU,1717880055
306,tyuratam,45.6507,63.3156,28.45,23,83,3.73,KZ,1717880055
307,wewak,-3.5534,143.6268,26.12,88,26,1.84,PG,1717880055
308,lucapa,-8.4192,20.7447,21.74,33,24,1.78,AO,1717880055
309,green river,41.5286,-109.4662,29.55,30,33,2.24,US,1717880053
310,upper dir,35.2058,71.8756,16.47,49,37,3.83,PK,1717880055
311,bubaque,11.2833,-15.8333,26.52,75,84,1.98,GW,1717880056
312,vorkuta,67.5,64.0,-1.05,93,100,0.89,RU,1717880056
313,port augusta,-32.5,137.7667,9.2,64,45,1.91,AU,1717880056
314,hilo,19.7297,-155.09,26.85,76,40,3.09,US,1717880056
315,zemio,5.0314,25.1361,21.36,86,97,0.69,CF,1717880056
316,ughelli,5.4899,6.0074,24.12,97,100,2.09,NG,1717880057
317,copala,16.65,-98.9833,30.43,53,70,3.36,MX,1717880057
318,luderitz,-26.6481,15.1594,19.82,31,0,7.08,NA,1717880057
319,lycksele,64.5954,18.6735,10.93,66,18,3.6,SE,1717880057
320,machina,13.1364,10.0492,34.11,34,62,5.81,NG,1717880057
321,salinopolis,-0.6136,-47.3561,27.24,80,100,5.02,BR,1717880058
322,seme,15.1942,-12.9448,37.17,22,66,4.49,SN,1717880058
323,kapuskasing,49.4169,-82.4331,20.05,42,75,7.72,CA,1717880058
324,surgeres,46.1,-0.75,17.98,83,94,3.6,FR,1717880058
